year,abbr,pres_margin,pres_margin_str,relative_margin,relative_margin_str,national_margin,national_margin_str,electoral_votes
2044,UT,-0.34812846828590205,R+34.8,-0.30705997358309856,R+30.7,-0.04106849470280351,R+4.1,6
1936,VA,0.4099533175725138,D+41.0,0.1607722515727687,D+16.1,0.249181065999745,D+24.9,11
1940,VA,0.3666064333785083,D+36.7,0.2666352968453694,D+26.7,0.0999711365331388,D+10.0,11
1944,VA,0.2503954644804513,D+25.0,0.1864081088232727,D+18.6,0.0639873556571785,D+6.4,11
1948,VA,0.0770163280193962,D+7.7,0.0402931478985456,D+4.0,0.0367231801208505,D+3.7,11
1952,VA,-0.1300925671103455,R+13.0,-0.0125036760297357,R+1.3,-0.1175888910806098,R+11.8,12
1956,VA,-0.1814361857420833,R+18.1,-0.0128643522009306,R+1.3,-0.1685718335411526,R+16.9,12
1960,VA,-0.0550226381238524,R+5.5,-0.054859410054712,R+5.5,-0.0001632280691403,R+0.0,12
1964,VA,0.0737984090393045,D+7.4,-0.1427518450196532,R+14.3,0.2165502540589577,D+21.7,12
1968,VA,-0.143246964770225,R+14.3,-0.1196941579472738,R+12.0,-0.0235528068229511,R+2.4,12
1972,VA,-0.385045327803388,R+38.5,-0.1345360766583401,R+13.5,-0.2505092511450479,R+25.1,12
1976,VA,-0.0137283771092732,R+1.4,-0.036475360664132,R+3.6,0.0227469835548588,D+2.3,12
1980,VA,-0.1363172105824893,R+13.6,-0.0331660351940429,R+3.3,-0.1031511753884464,R+10.3,12
1984,VA,-0.2535137587843969,R+25.4,-0.071046734943903,R+7.1,-0.1824670238404939,R+18.2,12
1988,VA,-0.2071789211516481,R+20.7,-0.1305298153743016,R+13.1,-0.0766491057773465,R+7.7,12
1992,VA,-0.0511002586828688,R+5.1,-0.1235141754459426,R+12.4,0.0724139167630737,D+7.2,13
1996,VA,-0.0212118901413378,R+2.1,-0.1172923706583419,R+11.7,0.096080480517004,D+9.6,13
2000,VA,-0.082944726116665,R+8.3,-0.0880781844861455,R+8.8,0.0051334583694805,D+0.5,13
2004,VA,-0.0826739342706011,R+8.3,-0.0580136341470536,R+5.8,-0.0246603001235475,R+2.5,13
2008,VA,0.063651688122551,D+6.4,-0.0117636574490543,R+1.2,0.0754153455716054,D+7.5,13
2012,VA,0.0393475337752896,D+3.9,-0.0008503322091589,R+0.1,0.0401978659844485,D+4.0,13
2016,VA,0.056527525543094,D+5.7,0.0332762457363728,D+3.3,0.0232512798067211,D+2.3,13
2020,VA,0.1030937399879981,D+10.3,0.0577339975654242,D+5.8,0.0453597424225739,D+4.5,13
2024,VA,0.0590207868531316,D+5.9,0.0740174782873317,D+7.4,-0.0149966914342001,R+1.5,13
2028,VA,0.05947796077210615,D+5.9,0.025348777515519217,D+2.5,0.03412918325658693,D+3.4,13
2032,VA,0.06366985749077675,D+6.4,0.04774361730512075,D+4.8,0.015926240185656002,D+1.6,13
2036,VA,0.005211157212691385,D+0.5,-0.0011544023628763567,R+0.1,0.006365559575567741,D+0.6,13
2040,VA,-0.027199171956030815,R+2.7,-0.03192535334395969,R+3.2,0.004726181387928875,D+0.5,13
2044,VA,-0.038628251654674754,R+3.9,0.0024402430481287557,D+0.2,-0.04106849470280351,R+4.1,13
1936,VT,-0.1320251210294312,R+13.2,-0.3812061870291763,R+38.1,0.249181065999745,D+24.9,3
1940,VT,-0.0988642736960179,R+9.9,-0.1988354102291567,R+19.9,0.0999711365331388,D+10.0,3
1944,VT,-0.1412638515481024,R+14.1,-0.205251207205281,R+20.5,0.0639873556571785,D+6.4,3
1948,VT,-0.2499855946922614,R+25.0,-0.286708774813112,R+28.7,0.0367231801208505,D+3.7,3
1952,VT,-0.4335345458346399,R+43.4,-0.3159456547540301,R+31.6,-0.1175888910806098,R+11.8,3
1956,VT,-0.4435820817450094,R+44.4,-0.2750102482038568,R+27.5,-0.1685718335411526,R+16.9,3
1960,VT,-0.1729949736129622,R+17.3,-0.1728317455438218,R+17.3,-0.0001632280691403,R+0.0,3
1964,VT,0.3261502799428463,D+32.6,0.1096000258838885,D+11.0,0.2165502540589577,D+21.7,3
1968,VT,-0.0957997902147403,R+9.6,-0.0722469833917891,R+7.2,-0.0235528068229511,R+2.4,3
1972,VT,-0.2642683315076919,R+26.4,-0.013759080362644,R+1.4,-0.2505092511450479,R+25.1,3
1976,VT,-0.1267727362011392,R+12.7,-0.1495197197559981,R+15.0,0.0227469835548588,D+2.3,3
1980,VT,-0.0717861592479329,R+7.2,0.0313650161405134,D+3.1,-0.1031511753884464,R+10.3,3
1984,VT,-0.1732982145555819,R+17.3,0.009168809284912,D+0.9,-0.1824670238404939,R+18.2,3
1988,VT,-0.0356342615344889,R+3.6,0.0410148442428576,D+4.1,-0.0766491057773465,R+7.7,3
1992,VT,0.2050840271701381,D+20.5,0.1326701104070643,D+13.3,0.0724139167630737,D+7.2,3
1996,VT,0.2636566076812404,D+26.4,0.1675761271642363,D+16.8,0.096080480517004,D+9.6,3
2000,VT,0.108807017935468,D+10.9,0.1036735595659874,D+10.4,0.0051334583694805,D+0.5,3
2004,VT,0.2060200427850232,D+20.6,0.2306803429085708,D+23.1,-0.0246603001235475,R+2.5,3
2008,VT,0.377983634786762,D+37.8,0.3025682892151565,D+30.3,0.0754153455716054,D+7.5,3
2012,VT,0.3649451765278125,D+36.5,0.3247473105433639,D+32.5,0.0401978659844485,D+4.0,3
2016,VT,0.3037285264764074,D+30.4,0.2804772466696862,D+28.0,0.0232512798067211,D+2.3,3
2020,VT,0.3659837310561312,D+36.6,0.3206239886335573,D+32.1,0.0453597424225739,D+4.5,3
2024,VT,0.3277043577168019,D+32.8,0.342701049151002,D+34.3,-0.0149966914342001,R+1.5,3
2028,VT,0.261693004028048,D+26.2,0.2275638207714611,D+22.8,0.03412918325658693,D+3.4,3
2032,VT,0.06436081591593651,D+6.4,0.04843457573028051,D+4.8,0.015926240185656002,D+1.6,3
2036,VT,0.006310996221769893,D+0.6,-5.4563353797847694e-05,R+0.0,0.006365559575567741,D+0.6,3
2040,VT,0.15437883764244095,D+15.4,0.14965265625451207,D+15.0,0.004726181387928875,D+0.5,3
2044,VT,0.35840550222031503,D+35.8,0.3994739969231185,D+39.9,-0.04106849470280351,R+4.1,3
