year,abbr,relative_margin
2032,NE,-0.30433910970506217
2036,NE,-0.2836053610686067
2040,NE,-0.182973389372346
2044,NE,-0.23438375460800523
2048,NE,-0.13998811877880124
2052,NE,-0.2774493207167685
2056,NE,-0.243408664985621
2060,NE,-0.29030734378217427
2064,NE,-0.2742193250986978
2068,NE,-0.29045088579436623
2072,NE,-0.3052604359781367
2076,NE,-0.06195629628872898
2080,NE,-0.15446438934684217
2084,NE,-0.11864370070527726
2088,NE,-0.16644637469518073
2092,NE,-0.22865606608382388
2096,NE,-0.24321807023464984
2100,NE,-0.16752988949307637
2024,NH,0.0432088409014677
2028,NH,-0.061383997875322165
2032,NH,-0.14382776632415778
2036,NH,-0.11785803785569529
2040,NH,-0.13812283993807772
2044,NH,-0.11910921872759393
2048,NH,-0.0930619809588396
2052,NH,-0.07211267456571224
2056,NH,-0.1188625891402225
2060,NH,0.011523872471925205
2064,NH,-0.051076153349057456
2068,NH,0.0009392958077769368
2072,NH,0.018015761970701434
2076,NH,0.0009651277322166481
2080,NH,0.0005064363042293469
2084,NH,-0.1352137007300607
2088,NH,-0.09038595305511621
2092,NH,-0.024573147041937523
2096,NH,0.021625436302735484
2100,NH,0.06696854698064074
2024,NJ,0.0752741657665353
2028,NJ,0.02574072097823692
2032,NJ,0.021844961821934707
2036,NJ,-0.029646106521160315
2040,NJ,-0.039147207002892766
2044,NJ,0.0066950437181609295
2048,NJ,0.01629470915379759
2052,NJ,0.011332023691374595
2056,NJ,0.1132135477115379
2060,NJ,0.08800649124224767
2064,NJ,0.043478846017385726
2068,NJ,0.07062836040013008
2072,NJ,0.09576656858976557
2076,NJ,0.09690798521651463
2080,NJ,0.04886869337037989
2084,NJ,0.08462859013709945
2088,NJ,0.10759268085333192
2092,NJ,0.12428148809849263
2096,NJ,0.1282117374443511
2100,NJ,0.12509743473506962
2024,NM,0.0764148137206732
2028,NM,0.02668922844661832
2032,NM,-0.0019043277063740414
2036,NM,-0.011376522569430801
2040,NM,0.014232836123953992
